comment,source
This video is absolutely amazing keep up the great work!,youtube
You are a complete idiot and nobody wants to hear your opinion.,youtube
I totally disagree with this point but I respect your perspective.,youtube
Go kill yourself you stupid worthless piece of garbage.,youtube
Interesting analysis I learned something new today.,youtube
This channel is trash and so are all its subscribers.,youtube
Could you please explain this concept in more detail?,youtube
I hate all people like you you should be ashamed.,youtube
Great tutorial very clear and easy to follow!,youtube
What kind of moron makes a video like this?,youtube
Thank you for this excellent breakdown of the topic.,youtube
You are the worst creator on this platform.,youtube
This is one of the best explanations I have ever seen.,youtube
Stop making videos you talentless waste of space.,youtube
Really helpful content as always thanks for sharing.,youtube
